gene_id,H1_HOCl,H2_HOCl,H3_HOCl,H4_HOCl,H1_No,H2_No,H3_No,H4_No,O1_HOCl,O2_HOCl,O3_HOCl,O4_HOCl,O1_No,O2_No,O3_No,O4_No
HVO_RS00555,25,25,12,19,227,177,250,197,13,20,9,18,278,254,149,364
HVO_RS00560,33,38,19,17,57,71,51,71,18,29,10,48,93,48,36,84
HVO_RS00565,609,741,325,236,564,573,435,433,119,408,171,370,633,402,394,930
HVO_RS00570,923,1090,783,566,3312,3496,3096,3757,335,736,373,819,4133,3183,2733,3519
HVO_RS00575,912,1058,533,239,68,85,344,166,144,462,158,570,189,72,173,670
HVO_RS00580,12,10,4,5,7,2,2,8,1,11,2,4,27,2,3,6
HVO_RS00585,2,1,2,0,0,0,3,0,1,2,0,3,9,0,0,0
HVO_RS00590,3,7,3,6,0,0,1,0,0,6,4,5,37,1,0,7
HVO_RS00595,6,17,8,6,2,2,5,7,5,3,1,2,28,5,1,18
HVO_RS00600,7,3,1,1,0,0,5,1,0,0,2,0,14,2,1,6
HVO_RS00605,2,6,2,0,10,6,14,9,2,8,4,3,63,10,9,16
HVO_RS00610,11,5,3,0,15,19,24,30,1,9,9,2,43,21,14,82
HVO_RS00615,40,43,17,11,110,76,99,76,5,19,6,14,126,80,56,228
HVO_RS00620,185,299,83,53,44,59,67,61,38,138,31,101,83,37,53,166
HVO_RS00625,23,18,7,7,0,0,2,0,3,7,4,11,8,1,0,12
HVO_RS00630,39,76,68,62,443,560,356,485,31,43,64,103,701,527,516,1261
HVO_RS00635,32,26,8,8,87,117,90,98,6,22,10,13,174,88,73,219
HVO_RS00640,135,192,45,42,953,975,595,527,20,75,32,71,913,946,345,1217
HVO_RS00645,78,110,35,14,499,505,704,702,17,43,31,33,606,508,399,1337
HVO_RS00650,70,118,34,31,444,512,585,471,23,48,43,40,532,434,289,1109
HVO_RS00655,28,23,7,5,200,151,257,263,5,13,10,22,248,162,161,419
HVO_RS00660,9,5,5,6,27,21,13,16,4,7,5,23,63,27,9,51
HVO_RS00665,7,5,16,15,42,54,44,61,9,5,16,12,85,55,44,104
HVO_RS00670,21,37,22,19,154,117,140,115,12,20,31,24,202,135,85,244
HVO_RS00675,34,50,19,35,142,135,103,116,12,16,32,54,217,112,97,223
HVO_RS00680,16,12,11,8,70,89,33,35,6,18,15,23,107,69,20,104
HVO_RS00685,15,18,27,7,70,76,40,52,3,11,12,19,110,77,26,141
HVO_RS00690,34,49,36,30,308,277,262,278,21,33,27,33,387,268,248,605
HVO_RS00695,235,356,82,58,1099,1170,989,1024,32,148,34,86,1287,1142,811,1573
HVO_RS00700,38,30,20,11,55,61,39,47,8,7,14,29,86,45,48,68
HVO_RS00705,26,20,6,5,86,78,111,116,4,15,13,16,150,93,75,188
HVO_RS00710,5,11,2,3,38,50,69,70,1,7,1,3,82,69,75,107
HVO_RS00715,15,19,8,3,20,33,36,28,8,6,14,7,62,30,12,64
HVO_RS00720,71,121,54,27,448,821,406,317,34,32,57,50,719,331,224,327
HVO_RS00725,11,14,4,5,10,24,14,10,7,5,5,11,15,9,8,34
HVO_RS00730,1087,991,845,340,397,690,503,615,231,856,257,712,698,280,413,1430
HVO_RS00735,18,25,11,4,68,57,32,37,5,5,5,13,91,36,29,70
HVO_RS00745,45,44,15,7,162,182,295,320,7,19,14,18,336,258,241,228
HVO_RS00750,40,26,9,6,121,121,284,248,4,12,3,8,338,227,215,272
HVO_RS00755,43,51,8,10,629,792,1248,938,4,21,6,9,842,821,760,1269
HVO_RS00760,349,367,99,60,424,594,700,981,21,160,38,106,1227,726,912,909
HVO_RS00765,34,39,28,38,30,44,33,50,29,19,30,53,58,24,51,97
HVO_RS00770,60,58,10,14,105,143,202,187,7,32,12,20,161,226,163,374
HVO_RS00775,39,49,9,9,29,41,17,42,20,29,17,19,46,43,22,43
HVO_RS00780,29,72,33,21,50,48,36,58,9,17,41,52,66,33,36,138
HVO_RS00785,2,5,1,0,21,21,9,9,0,1,2,8,43,54,0,16
HVO_RS00790,0,1,0,0,16,7,3,6,1,7,0,0,26,16,2,4
HVO_RS00795,0,4,2,0,18,33,9,8,3,2,4,8,29,34,6,38
HVO_RS00800,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HVO_RS00805,22,17,12,16,84,83,38,42,4,9,26,31,140,93,41,98
HVO_RS00810,15,14,12,1,38,22,15,19,3,2,5,14,57,26,16,39
HVO_RS00815,4,3,1,3,25,19,3,10,0,1,1,2,30,11,2,15
HVO_RS00820,1,5,1,0,8,5,10,8,1,0,1,0,26,15,7,20
HVO_RS00825,4,9,7,4,15,42,14,12,2,3,5,20,60,23,10,37
HVO_RS00830,1,7,9,1,12,11,5,3,0,0,3,4,37,11,6,5
HVO_RS00835,4,14,9,3,39,44,8,33,5,3,9,18,95,25,20,65
HVO_RS00840,0,0,0,0,7,8,19,17,0,0,2,1,12,6,16,66
HVO_RS00845,7,5,2,1,9,27,27,28,4,0,0,8,48,13,14,34
HVO_RS00850,120,156,68,33,69,58,83,41,18,99,19,57,139,41,50,151
HVO_RS00855,211,270,222,129,85,106,79,66,100,238,72,227,169,96,59,205
HVO_RS00860,19,10,5,3,2,3,5,4,5,8,8,8,61,2,2,15
HVO_RS00865,3,0,2,0,2,0,2,0,0,2,0,3,19,3,1,5
HVO_RS00870,0,3,0,2,4,3,0,1,0,2,0,0,64,11,6,1
HVO_RS00875,5,3,0,4,4,4,1,4,2,1,0,1,19,41,1,1
HVO_RS00880,2,0,4,0,5,0,2,0,1,0,3,2,30,1,1,0
HVO_RS00885,0,5,3,1,3,1,0,1,1,1,1,7,20,2,0,1
HVO_RS00890,11,21,2,4,12,27,14,16,4,2,1,4,39,18,5,39
HVO_RS00895,41,34,26,36,137,142,149,164,26,12,51,82,355,102,131,279
HVO_RS00900,18,17,6,8,144,125,151,171,0,4,10,8,267,82,114,304
HVO_RS00905,18,33,18,31,125,157,95,148,20,17,35,36,501,170,136,239
HVO_RS00910,16,12,14,13,36,22,35,35,11,16,24,19,117,52,25,51
HVO_RS00915,25,46,38,54,62,60,44,70,25,33,66,84,178,56,39,116
HVO_RS00920,8,8,3,2,5,10,9,6,0,5,2,9,42,6,11,44
HVO_RS00925,1,11,6,6,6,18,8,12,5,2,12,15,33,4,9,34
HVO_RS00930,5,5,5,0,3,2,2,5,2,2,1,1,39,2,6,9
HVO_RS00935,10,33,9,10,26,29,15,47,7,16,5,18,90,19,38,91
HVO_RS00940,76,131,33,32,152,146,119,175,8,36,40,55,264,108,124,339
HVO_RS00945,59,87,29,27,157,220,171,260,9,21,18,54,196,184,203,610
HVO_RS00950,613,737,114,160,673,788,500,1155,48,194,134,252,560,606,597,1655
HVO_RS00955,135,194,124,111,1264,1273,825,744,76,83,144,139,1708,1112,565,1893
HVO_RS00960,0,0,1,0,2,0,7,0,0,1,0,0,6,0,0,8
HVO_RS00965,15,24,15,14,187,174,421,319,1,11,25,20,313,150,342,634
HVO_RS00970,43,84,59,76,102,115,52,68,64,40,99,136,138,63,55,165
HVO_RS00975,92,97,108,108,171,170,122,122,79,57,142,226,217,127,83,233
HVO_RS00980,5,0,6,0,32,25,32,23,0,2,1,4,75,28,6,64
HVO_RS00985,113,141,146,91,245,232,117,138,57,130,54,113,244,226,98,189
HVO_RS00990,66,113,36,32,46,61,36,45,20,51,28,57,58,44,23,30
HVO_RS00995,24,23,6,19,51,49,66,72,10,35,10,16,90,30,70,89
HVO_RS01000,15,19,35,19,4,6,4,3,22,24,18,32,85,8,6,6
HVO_RS01005,17,19,4,4,56,62,29,36,4,11,6,11,73,75,20,104
HVO_RS01010,7,11,17,33,5,0,2,7,7,7,14,14,48,3,9,48
HVO_RS01015,3,9,8,8,1,0,4,1,0,5,10,14,48,2,8,12
HVO_RS01020,1,7,0,2,0,1,0,0,3,0,0,1,2,3,0,0
HVO_RS01025,4,7,3,4,4,11,3,6,5,4,7,7,36,0,7,12
HVO_RS01030,6,9,6,0,2,3,1,2,1,2,2,7,38,2,4,6
HVO_RS01035,3,4,1,2,2,1,0,0,6,1,1,0,20,1,0,6
HVO_RS01040,2,12,6,7,2,2,1,10,1,7,5,8,25,5,9,11
HVO_RS01045,2,10,0,2,0,1,1,0,0,4,1,3,10,2,0,7
HVO_RS01050,14,29,30,23,6,6,4,10,13,28,13,14,44,10,7,40
HVO_RS01055,14,17,19,13,4,4,8,6,6,15,25,40,77,5,14,38
HVO_RS01060,17,12,17,22,4,1,3,8,19,12,19,22,184,3,9,23
HVO_RS01065,162,288,265,112,160,198,68,101,98,240,57,210,187,148,77,68
HVO_RS01070,65,93,83,61,26,22,13,26,36,30,35,83,67,33,18,35
HVO_RS01075,38,64,28,26,4,16,8,12,13,45,12,45,34,9,11,27
HVO_RS01080,7,8,4,6,3,5,2,12,4,4,0,6,37,10,9,12
HVO_RS01085,4,2,0,3,1,0,3,7,0,2,3,4,13,8,3,6
HVO_RS01090,1,7,2,3,8,8,5,3,3,2,5,8,44,2,4,8
HVO_RS01095,5,10,3,0,7,9,16,10,0,9,5,7,58,11,9,17
HVO_RS01100,19,46,25,13,47,48,38,24,12,18,14,24,83,56,29,77
HVO_RS01105,11,16,11,2,6,5,1,11,4,14,7,9,23,4,6,5
HVO_RS01110,13,27,19,14,17,9,14,25,6,13,12,8,49,19,13,37
HVO_RS01115,48,48,43,24,12,15,8,22,10,43,18,32,55,9,15,25
HVO_RS01120,31,39,62,51,38,55,54,79,34,37,34,75,108,60,70,35
HVO_RS01125,2,4,6,7,7,7,2,13,4,7,7,8,17,9,12,10
HVO_RS01130,4,7,2,4,14,7,4,4,0,0,0,5,16,3,7,5
HVO_RS01135,4,12,1,2,2,2,0,4,7,4,4,1,19,2,1,1
HVO_RS01140,135,167,46,52,6,14,14,9,18,74,35,71,48,8,9,32
HVO_RS01145,84,116,65,44,148,109,89,81,34,87,34,56,216,103,59,156
HVO_RS01150,10,8,7,3,21,23,8,6,3,10,4,8,13,18,7,20
HVO_RS01155,2,11,2,4,4,4,3,9,1,3,0,1,13,8,8,18
HVO_RS01160,139,202,64,30,97,111,132,111,18,80,19,60,328,134,125,251
HVO_RS01165,441,594,63,28,88,64,92,74,3,121,14,45,167,70,68,183
HVO_RS01170,20,31,9,4,12,11,7,11,1,5,2,9,20,5,11,24
HVO_RS01175,67,87,30,39,70,142,66,123,27,32,18,25,142,83,107,381
HVO_RS01180,39,63,10,2,4,1,11,8,5,22,6,8,35,6,5,22
HVO_RS01185,1420,1621,337,123,779,974,776,958,87,475,85,230,1231,585,817,2341
HVO_RS01190,1286,1096,466,182,383,485,526,667,121,552,154,476,755,434,642,2029
HVO_RS01195,23,28,1,3,4,2,10,7,2,6,3,7,53,6,11,18
HVO_RS01200,115,230,29,11,75,72,81,95,7,59,14,20,209,73,84,196
HVO_RS01210,174,226,33,8,37,28,27,35,10,68,3,44,58,24,37,105
HVO_RS01215,855,1156,569,171,134,159,112,112,137,594,152,521,207,188,92,338
HVO_RS01230,69,102,107,69,30,42,10,18,41,108,39,127,81,16,22,35
HVO_RS01235,261,281,86,25,198,224,326,350,31,135,30,66,344,209,303,607
HVO_RS01240,76,45,15,8,32,19,25,39,4,29,6,16,70,31,37,64
HVO_RS01245,67,100,29,21,85,94,106,111,15,48,32,48,192,78,113,207
HVO_RS01250,155,219,78,37,53,55,53,50,34,89,11,72,84,54,52,121
HVO_RS01255,11,22,13,4,7,7,7,7,6,28,13,17,25,6,9,37
HVO_RS01260,63,88,37,20,47,50,88,76,12,57,8,26,81,35,81,159
HVO_RS01265,10,14,8,3,2,3,3,4,2,9,4,4,41,0,3,8
HVO_RS01270,924,1222,734,304,57,49,53,78,221,705,197,645,117,47,35,144
HVO_RS01275,75,73,63,28,8,24,25,13,16,61,15,52,60,12,15,43
HVO_RS01280,93,109,49,23,15,15,21,26,12,45,23,53,74,19,11,62
HVO_RS01285,31,48,27,11,11,4,10,15,16,42,4,23,55,8,17,30
HVO_RS01290,86,119,45,32,29,26,30,30,22,61,11,60,152,27,24,64
HVO_RS01295,151,224,191,151,163,183,152,193,56,146,140,266,259,145,151,330
HVO_RS01300,91,149,32,20,28,39,49,65,13,49,19,42,76,33,41,128
HVO_RS01305,35,89,29,22,119,128,137,142,17,34,25,46,293,121,105,315
HVO_RS01310,27,25,20,17,107,125,63,108,5,6,11,10,156,83,71,236
HVO_RS01315,90,165,59,44,141,153,120,146,47,63,45,64,301,135,107,311
HVO_RS01330,81,130,70,55,294,234,221,223,24,58,102,92,530,314,207,438
HVO_RS01335,31,44,13,18,18,19,14,25,8,17,10,9,39,16,26,128
HVO_RS01340,111,151,21,18,39,16,56,52,8,50,10,22,57,31,45,305
HVO_RS01345,2396,3123,1200,804,1108,860,2583,956,449,1186,604,989,1474,1147,981,6058
HVO_RS01350,514,783,241,160,702,856,679,782,126,343,174,333,1155,803,488,1634
HVO_RS01355,54,90,18,15,40,52,61,81,8,20,19,30,134,57,79,180
HVO_RS01365,83,107,44,36,55,78,41,52,19,67,21,32,80,60,24,109
HVO_RS01370,133,169,63,40,121,129,145,166,26,95,18,56,234,95,125,358
HVO_RS01375,1158,1579,1298,1040,75,89,94,126,774,1476,1036,1823,146,67,85,247
HVO_RS01380,4145,5782,3877,2510,209,240,197,193,2039,4595,2518,4581,257,238,157,380
HVO_RS01385,1443,2051,582,371,53,43,83,131,290,1076,316,624,111,56,108,198
HVO_RS01390,179,200,191,168,305,308,344,354,114,153,148,266,417,278,295,794
HVO_RS01395,117,178,59,49,152,184,98,48,36,93,25,65,147,87,50,179
HVO_RS01400,139,184,49,42,91,112,79,66,35,94,39,64,164,102,55,108
HVO_RS01405,139,204,60,48,339,404,410,300,30,75,29,56,587,319,268,715
HVO_RS01410,125,181,58,35,665,771,263,177,25,76,35,45,760,1487,114,491
HVO_RS01415,44,41,24,19,382,491,230,215,18,26,23,62,597,1229,153,306
HVO_RS01420,7,4,1,0,80,52,50,37,2,6,0,1,110,201,36,67
HVO_RS01425,0,2,0,9,64,57,44,18,1,3,1,9,132,161,18,42
HVO_RS01430,75,109,51,44,297,327,202,156,29,48,45,49,472,423,124,443
HVO_RS01435,7,24,13,9,140,125,97,88,7,8,12,11,221,150,85,230
HVO_RS01440,3,6,6,1,5,10,9,5,0,3,0,0,14,13,16,7
HVO_RS01445,12,12,2,0,21,14,17,21,1,1,2,3,18,18,13,11
HVO_RS01450,35,53,14,10,59,62,45,38,10,17,1,14,75,32,38,44
HVO_RS01455,49,65,18,5,16,23,28,22,4,29,7,24,80,32,13,31
HVO_RS01460,175,237,75,37,37,45,93,50,16,114,17,55,129,53,19,101
HVO_RS01465,77,89,32,13,28,39,32,23,10,54,9,27,93,24,11,53
HVO_RS01470,6,10,5,3,4,7,11,11,0,2,3,11,30,7,4,18
HVO_RS01475,36,56,13,13,42,35,17,24,6,16,5,29,118,18,15,63
HVO_RS01480,92,117,71,31,77,91,156,197,17,53,17,72,166,73,129,228
HVO_RS01485,70,111,100,37,326,326,619,572,32,65,26,89,586,317,383,572
HVO_RS01490,1,6,20,14,113,195,175,165,4,5,11,29,268,105,73,162
HVO_RS01500,56,61,16,15,64,66,37,49,5,15,7,10,145,36,25,58
HVO_RS01505,5,9,1,1,0,5,3,1,0,2,1,3,45,0,1,1
HVO_RS01510,5,0,3,1,3,6,5,3,0,5,1,6,47,6,3,5
HVO_RS01515,15,16,14,11,16,18,13,10,2,9,2,9,53,16,5,21
HVO_RS01520,24,41,21,3,2,8,5,3,4,20,9,12,65,3,4,8
HVO_RS01525,113,159,40,15,39,53,46,71,6,60,8,52,122,51,41,72
HVO_RS01530,50,55,23,18,21,22,19,19,7,28,5,29,29,13,15,11
HVO_RS01535,522,625,476,189,37,48,60,47,64,408,139,492,56,60,38,59
HVO_RS01540,141,144,78,32,92,116,88,75,17,95,28,76,115,91,74,119
HVO_RS01545,5,2,0,7,2,0,1,0,0,4,4,4,69,1,1,4
HVO_RS01550,94,109,71,36,73,116,72,57,23,83,29,64,128,81,56,157
HVO_RS01555,41,59,30,31,104,105,101,84,16,35,19,46,179,83,57,154
HVO_RS01560,35,40,24,15,21,34,31,35,17,26,14,18,99,23,24,98
HVO_RS01565,8,12,5,6,1,3,2,7,1,3,6,6,57,6,3,10
HVO_RS01570,37,50,41,28,7,11,13,7,10,24,10,34,10,2,17,43
HVO_RS01575,18,45,35,37,21,22,8,6,27,36,29,49,64,29,11,16
HVO_RS01580,25,17,20,22,6,12,4,4,8,7,11,19,57,11,10,26
HVO_RS01585,198,161,127,50,12,16,33,21,23,106,49,105,27,22,38,140
HVO_RS01590,37,54,39,24,7,11,6,10,15,21,18,33,22,9,6,28
HVO_RS01595,12,11,23,34,4,4,4,8,3,6,17,16,42,6,10,15
HVO_RS01600,130,187,54,20,32,23,45,31,24,65,17,51,117,33,38,104
HVO_RS01605,31,62,20,18,25,17,33,21,14,36,19,27,84,22,17,67
HVO_RS01610,10,11,6,7,1,2,1,1,4,5,8,8,50,2,2,14
HVO_RS01625,8,9,5,5,2,1,0,0,4,7,1,12,24,10,4,1
HVO_RS01630,26,41,23,10,8,2,1,3,11,32,12,18,69,1,6,14
HVO_RS01635,13,10,4,3,7,11,3,10,3,11,6,16,24,9,6,28
HVO_RS01640,18,14,8,8,4,4,19,16,6,11,8,12,30,5,7,17
HVO_RS01645,0,3,2,5,6,0,3,1,2,2,0,5,3,3,5,12
HVO_RS01650,22,21,13,16,1,2,2,1,11,24,11,22,34,1,9,13
HVO_RS01655,143,248,123,110,7,13,11,7,63,115,55,146,65,20,14,30
HVO_RS01660,211,355,227,182,50,42,33,46,101,243,109,280,47,30,29,111
HVO_RS01665,50,75,48,37,152,150,142,131,19,41,25,36,258,134,88,272
HVO_RS01670,34,43,17,8,15,13,13,11,8,26,16,17,58,11,8,29
HVO_RS01675,13,5,2,2,9,13,9,9,4,5,3,8,43,5,6,12
HVO_RS01680,18,39,4,11,14,7,9,12,6,21,6,5,38,12,12,17
HVO_RS01685,8,7,5,4,13,1,11,14,3,6,7,10,69,5,12,26
HVO_RS01690,27,43,5,11,8,12,19,16,4,26,5,6,37,13,13,50
HVO_RS01695,192,223,43,17,299,425,252,215,2,51,10,45,376,333,132,588
HVO_RS01700,44,56,27,13,112,148,112,84,14,42,17,31,140,93,73,153
HVO_RS01705,96,120,75,40,192,200,268,231,24,68,18,50,263,180,181,321
HVO_RS01710,119,131,69,50,764,689,735,935,21,58,51,83,989,680,583,1339
HVO_RS01715,26,21,14,20,148,190,135,181,8,12,22,43,218,129,119,259
HVO_RS01720,6,17,17,10,61,45,52,66,2,4,8,14,80,52,63,91
HVO_RS01725,39,90,51,49,311,285,441,468,20,35,57,70,478,268,356,690
HVO_RS01730,57,77,44,75,566,524,284,384,28,47,79,116,449,425,259,601
HVO_RS01735,270,355,215,241,17337,17261,2679,1957,90,149,305,705,7958,12388,860,4342
HVO_RS01740,27,30,7,11,60,61,57,33,0,15,10,14,111,43,31,97
HVO_RS01745,42,57,17,13,758,890,183,177,12,24,14,40,534,568,101,454
HVO_RS01750,4,9,0,2,38,35,2,7,1,4,3,1,17,33,2,19
HVO_RS01755,94,137,47,41,240,298,97,147,28,60,47,77,220,203,67,297
HVO_RS01760,10,17,11,8,37,35,25,25,12,12,27,37,59,45,14,49
HVO_RS01765,24,33,18,13,37,38,10,23,13,21,13,29,71,29,16,40
HVO_RS01770,12,18,9,14,22,40,9,6,12,13,9,15,22,20,6,16
HVO_RS01775,40,50,42,19,50,95,27,66,13,17,18,42,95,68,62,112
HVO_RS01780,38,37,26,12,40,60,23,48,18,25,14,34,70,47,46,60
HVO_RS01785,50,72,75,48,61,73,32,36,35,51,19,47,75,60,37,83
HVO_RS01790,129,195,185,79,49,79,45,42,121,100,60,166,124,64,37,112
HVO_RS01795,2128,3247,1446,637,496,504,457,462,887,1698,571,1521,1093,547,396,964
HVO_RS01800,101,120,10,11,441,473,511,526,9,20,9,19,640,316,327,727
HVO_RS01805,40,69,33,51,198,204,205,212,20,26,37,48,227,178,183,546
HVO_RS01810,601,905,481,401,1391,1351,1248,1165,181,434,340,587,2185,1354,895,2549
HVO_RS01815,142,176,92,45,91,109,115,191,40,118,45,90,255,103,161,494
HVO_RS01820,223,289,38,14,348,308,233,202,3,87,14,33,323,229,155,439
HVO_RS01825,169,221,58,35,89,72,101,122,26,104,36,52,163,59,86,227
HVO_RS01830,15,18,15,8,3,9,32,19,7,16,6,16,21,8,12,37
HVO_RS01835,17,23,10,10,19,11,21,28,5,9,4,10,49,9,25,53
HVO_RS01840,1364,1737,305,62,2040,2269,1004,582,62,654,52,110,1326,1690,412,1141
HVO_RS01845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVO_RS01850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVO_RS01855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVO_RS01860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVO_RS01865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVO_RS01870,743,861,129,36,194,222,320,275,26,274,21,80,349,211,337,576
HVO_RS01875,124,117,67,37,717,716,879,987,22,80,35,63,750,792,766,1589
HVO_RS01880,418,498,106,72,801,765,1085,1156,32,157,46,97,956,991,897,2041
HVO_RS01885,517,597,107,57,289,278,296,348,43,227,53,87,503,241,283,628
HVO_RS01890,79,99,27,19,324,382,432,532,7,43,17,22,597,386,534,1147
HVO_RS01895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVO_RS01900,1953,2437,247,103,838,2102,750,1206,35,489,60,192,1299,611,1628,7809
HVO_RS01905,210,221,18,3,279,161,235,147,5,82,4,10,236,213,63,44
HVO_RS01910,31,31,15,6,54,98,100,171,0,25,1,7,178,99,105,147
HVO_RS01915,91,75,15,9,89,106,132,147,2,36,7,19,123,82,141,285
HVO_RS01920,199,267,40,9,426,417,445,464,7,67,12,16,349,383,347,709
HVO_RS01925,281,354,54,23,249,242,357,433,12,109,13,57,464,263,279,678
HVO_RS01930,17,16,2,2,0,1,0,0,1,7,0,0,1,1,1,5
HVO_RS01935,37,49,11,0,13,6,16,14,0,19,2,6,17,11,1,21
HVO_RS01940,125,159,50,39,40,35,18,34,21,61,22,64,60,41,26,81
HVO_RS01945,88,93,11,9,41,41,28,29,7,29,1,10,44,41,26,40
HVO_RS01950,178,191,91,31,309,272,230,435,21,108,57,79,471,296,543,755
HVO_RS01955,151,157,62,28,95,125,138,207,13,82,22,52,210,137,163,309
HVO_RS01960,617,780,342,212,259,229,235,214,203,508,98,378,380,245,196,168
HVO_RS01965,12,10,2,2,10,7,14,12,0,3,0,4,13,10,17,15
HVO_RS01970,0,1,0,0,2,4,2,3,1,0,0,3,4,3,2,7
HVO_RS01975,437,463,127,71,579,640,589,850,60,185,69,122,1248,426,794,1691
HVO_RS01980,88,92,38,17,25,22,45,42,13,44,19,20,51,15,34,92
HVO_RS01985,125,89,41,20,22,41,53,57,12,77,10,35,55,53,54,148
HVO_RS01990,1403,1390,1321,1011,532,620,944,838,661,1395,615,1469,793,745,692,1647
HVO_RS01995,38,61,20,18,43,35,46,66,6,15,27,29,105,35,48,108
HVO_RS02000,4,2,0,0,3,2,4,1,1,1,0,2,5,1,0,2
HVO_RS02005,4,5,1,1,0,0,4,3,0,2,1,0,8,3,1,1
HVO_RS02010,17,35,27,25,12,25,18,20,9,11,29,27,45,10,29,89
HVO_RS02015,1,1,0,1,0,2,2,1,2,2,0,2,11,0,1,8
HVO_RS02020,0,2,2,0,1,0,3,0,0,0,0,0,6,3,2,0
HVO_RS02025,4,0,0,0,0,1,2,1,0,1,0,1,6,3,3,1
HVO_RS02040,27,56,4,4,48,31,75,89,3,20,1,5,89,48,101,201
HVO_RS02045,1,6,1,1,5,4,2,7,0,2,0,4,8,4,5,38
HVO_RS02050,63,44,18,6,15,20,11,23,13,21,11,25,45,22,14,44
HVO_RS02055,10,8,4,1,21,8,16,19,2,7,3,2,9,4,11,38
HVO_RS02060,69,125,8,8,81,103,110,159,2,27,5,10,142,76,111,301
HVO_RS02065,60,55,18,7,12,18,27,21,7,25,17,24,34,13,20,91
HVO_RS02070,11,26,5,4,2,1,8,10,2,5,3,4,10,4,9,10
HVO_RS02075,41,49,14,5,78,63,80,116,2,20,12,19,98,54,96,182
HVO_RS02080,37,59,6,1,51,50,76,90,1,17,3,6,93,58,69,191
HVO_RS02085,372,423,138,68,91,92,112,94,51,188,56,122,150,128,109,190
HVO_RS02090,491,522,250,152,38,40,56,69,117,361,92,277,71,40,52,33
HVO_RS02095,59,60,17,20,72,79,90,101,3,15,6,9,134,65,93,73
HVO_RS02100,23,23,6,1,12,14,13,22,1,7,5,10,25,17,23,30
HVO_RS02105,2,3,1,0,0,1,0,0,0,2,3,0,5,1,3,1
HVO_RS02110,0,2,1,0,0,0,0,0,0,1,1,2,0,0,0,0
HVO_RS02115,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
HVO_RS02120,5,5,3,1,2,0,3,6,0,4,0,3,14,1,0,9
HVO_RS02130,34,51,11,3,11,14,19,25,4,7,0,4,49,5,22,40
HVO_RS02135,15,19,6,1,8,13,2,10,0,3,0,5,11,10,5,20
HVO_RS02140,12,10,2,1,11,16,12,17,1,0,1,5,15,12,8,43
HVO_RS02145,20,7,1,2,2,2,9,3,0,3,2,4,7,1,3,6
HVO_RS02150,2,1,1,0,2,0,0,1,0,1,0,0,2,0,1,0
HVO_RS02155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVO_RS02160,16,10,8,5,50,67,26,39,1,5,2,10,68,61,27,47
HVO_RS02165,38,27,10,5,25,59,44,85,2,16,3,6,61,55,77,113
HVO_RS02170,339,382,80,24,77,88,66,99,25,124,30,62,130,80,71,154
HVO_RS02175,172,192,121,64,67,142,101,110,32,83,53,141,154,97,95,374
HVO_RS02180,11,5,0,1,1,0,0,0,0,0,0,0,4,0,0,2
HVO_RS02185,24,11,5,0,7,2,5,2,0,6,2,7,7,1,4,25
HVO_RS02190,3,1,1,0,3,1,0,3,1,0,0,1,1,0,0,0
HVO_RS02195,7,11,4,1,14,9,3,4,0,6,0,3,21,11,8,20
HVO_RS02200,40,53,8,3,14,20,23,24,9,21,1,9,39,34,9,40
HVO_RS02205,21,16,8,3,15,5,10,9,4,5,0,6,23,4,8,21
HVO_RS02210,28,32,19,2,40,66,46,84,5,9,7,9,70,58,46,118
HVO_RS02215,6,8,1,0,3,16,10,11,3,3,0,2,21,14,15,13
HVO_RS02220,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0
HVO_RS02225,25,34,5,0,11,14,14,30,4,11,1,5,20,24,9,39
HVO_RS02230,46,72,15,8,9,9,10,12,14,25,7,13,21,13,1,17
HVO_RS02235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVO_RS02240,35,51,9,4,3,3,0,4,0,18,2,6,4,1,2,11
HVO_RS02245,184,211,70,13,15,29,27,36,12,131,19,51,52,26,21,33
HVO_RS02250,40,50,16,18,16,38,5,47,9,29,10,36,37,26,25,42
HVO_RS02255,101,62,102,69,58,91,33,139,39,100,29,132,86,85,105,67
HVO_RS02260,92,79,45,25,25,44,31,53,13,55,14,32,55,36,50,35
HVO_RS02265,164,198,98,89,150,178,48,54,25,134,32,106,70,132,25,59
HVO_RS02270,290,355,267,245,316,334,306,407,111,315,153,322,420,296,314,633
HVO_RS02275,101,146,68,113,69,61,77,106,48,103,74,105,193,51,97,164
HVO_RS02280,1,1,0,0,0,0,1,0,4,0,0,0,0,0,0,10
HVO_RS02285,289,333,199,86,106,108,125,127,79,242,82,159,174,92,107,237
HVO_RS02290,9,11,5,11,4,8,7,4,8,3,1,12,16,3,8,15
